Date,Value
1994-06-30,100.9492
1994-07-31,101.2967
1994-08-31,101.615
1994-09-30,101.8797
1994-10-31,102.0694
1994-11-30,102.1805
1994-12-31,102.218
1995-01-31,102.1977
1995-02-28,102.1295
1995-03-31,102.0231
1995-04-30,101.8865
1995-05-31,101.742
1995-06-30,101.5944
1995-07-31,101.4577
1995-08-31,101.3426
1995-09-30,101.2474
1995-10-31,101.1594
1995-11-30,101.0643
1995-12-31,100.953
1996-01-31,100.841
1996-02-29,100.7563
1996-03-31,100.7092
1996-04-30,100.6897
1996-05-31,100.6666
1996-06-30,100.6305
1996-07-31,100.5983
1996-08-31,100.5959
1996-09-30,100.6354
1996-10-31,100.7027
1996-11-30,100.7477
1996-12-31,100.7569
1997-01-31,100.7489
1997-02-28,100.7148
1997-03-31,100.6379
1997-04-30,100.5432
1997-05-31,100.4512
1997-06-30,100.3801
1997-07-31,100.3278
1997-08-31,100.2882
1997-09-30,100.2369
1997-10-31,100.1507
1997-11-30,100.0285
1997-12-31,99.88856
1998-01-31,99.76608
1998-02-28,99.66534
1998-03-31,99.55834
1998-04-30,99.39905
1998-05-31,99.16338
1998-06-30,98.85728
1998-07-31,98.51154
1998-08-31,98.16645
1998-09-30,97.88298
1998-10-31,97.70626
1998-11-30,97.62206
1998-12-31,97.6135
1999-01-31,97.679
1999-02-28,97.81959
1999-03-31,98.03592
1999-04-30,98.31531
1999-05-31,98.64186
1999-06-30,98.99424
1999-07-31,99.34191
1999-08-31,99.66142
1999-09-30,99.93972
1999-10-31,100.1771
1999-11-30,100.3678
1999-12-31,100.499
2000-01-31,100.5843
2000-02-29,100.6333
2000-03-31,100.6371
2000-04-30,100.6107
2000-05-31,100.5753
2000-06-30,100.5291
2000-07-31,100.4767
2000-08-31,100.4221
2000-09-30,100.3687
2000-10-31,100.3151
2000-11-30,100.2629
2000-12-31,100.2142
2001-01-31,100.1578
2001-02-28,100.0859
2001-03-31,99.99301
2001-04-30,99.89452
2001-05-31,99.80743
2001-06-30,99.73907
2001-07-31,99.69433
2001-08-31,99.70115
2001-09-30,99.7834
2001-10-31,99.94026
2001-11-30,100.1502
2001-12-31,100.3798
2002-01-31,100.5934
2002-02-28,100.7645
2002-03-31,100.8569
2002-04-30,100.8633
2002-05-31,100.784
2002-06-30,100.6244
2002-07-31,100.4152
2002-08-31,100.1838
2002-09-30,99.93667
2002-10-31,99.6717
2002-11-30,99.37807
2002-12-31,99.06148
2003-01-31,98.73207
2003-02-28,98.40366
2003-03-31,98.1304
2003-04-30,97.94659
2003-05-31,97.86489
2003-06-30,97.88485
2003-07-31,97.97985
2003-08-31,98.12032
2003-09-30,98.28438
2003-10-31,98.46332
2003-11-30,98.65284
2003-12-31,98.84684
2004-01-31,99.03725
2004-02-29,99.20954
2004-03-31,99.34598
2004-04-30,99.45218
2004-05-31,99.5555
2004-06-30,99.66676
2004-07-31,99.78902
2004-08-31,99.91472
2004-09-30,100.0264
2004-10-31,100.1137
2004-11-30,100.1705
2004-12-31,100.1994
2005-01-31,100.2244
2005-02-28,100.2713
2005-03-31,100.3592
2005-04-30,100.4917
2005-05-31,100.6562
2005-06-30,100.8323
2005-07-31,100.9987
2005-08-31,101.1439
2005-09-30,101.2552
2005-10-31,101.3317
2005-11-30,101.3822
2005-12-31,101.419
2006-01-31,101.4552
2006-02-28,101.5023
2006-03-31,101.5596
2006-04-30,101.6222
2006-05-31,101.6711
2006-06-30,101.7117
2006-07-31,101.7505
2006-08-31,101.7942
2006-09-30,101.8541
2006-10-31,101.9279
2006-11-30,102.0012
2006-12-31,102.0644
2007-01-31,102.1176
2007-02-28,102.1632
2007-03-31,102.1944
2007-04-30,102.1974
2007-05-31,102.1569
2007-06-30,102.0694
2007-07-31,101.9545
2007-08-31,101.8202
2007-09-30,101.6706
2007-10-31,101.5068
2007-11-30,101.3168
2007-12-31,101.1133
2008-01-31,100.906
2008-02-29,100.6875
2008-03-31,100.4604
2008-04-30,100.2016
2008-05-31,99.89485
2008-06-30,99.55632
2008-07-31,99.18184
2008-08-31,98.77139
2008-09-30,98.3537
2008-10-31,97.94315
2008-11-30,97.57404
2008-12-31,97.27697
2009-01-31,97.07772
2009-02-28,96.9981
2009-03-31,97.02595
2009-04-30,97.13608
2009-05-31,97.28999
2009-06-30,97.46523
2009-07-31,97.66399
2009-08-31,97.87279
2009-09-30,98.07999
2009-10-31,98.27564
2009-11-30,98.45382
2009-12-31,98.61816
2010-01-31,98.78278
2010-02-28,98.94717
2010-03-31,99.09586
2010-04-30,99.21955
2010-05-31,99.32177
2010-06-30,99.40951
2010-07-31,99.49911
2010-08-31,99.60504
2010-09-30,99.73289
2010-10-31,99.87657
2010-11-30,100.0256
2010-12-31,100.1694
2011-01-31,100.2918
2011-02-28,100.3673
2011-03-31,100.3855
2011-04-30,100.3475
2011-05-31,100.2772
2011-06-30,100.1921
2011-07-31,100.115
2011-08-31,100.0717
2011-09-30,100.0757
2011-10-31,100.1108
2011-11-30,100.1512
2011-12-31,100.1816
2012-01-31,100.1831
2012-02-29,100.1609
2012-03-31,100.1158
2012-04-30,100.0728
2012-05-31,100.0488
2012-06-30,100.0522
2012-07-31,100.0858
2012-08-31,100.1554
2012-09-30,100.2507
2012-10-31,100.3536
2012-11-30,100.4421
2012-12-31,100.505
2013-01-31,100.5455
2013-02-28,100.5602
2013-03-31,100.5526
2013-04-30,100.5355
2013-05-31,100.5292
2013-06-30,100.535
2013-07-31,100.5467
2013-08-31,100.5409
2013-09-30,100.5127
2013-10-31,100.4722
2013-11-30,100.4228
2013-12-31,100.3694
2014-01-31,100.3146
2014-02-28,100.2521
2014-03-31,100.1879
2014-04-30,100.1421
2014-05-31,100.1408
2014-06-30,100.1933
2014-07-31,100.2839
2014-08-31,100.3814
2014-09-30,100.4602
2014-10-31,100.5079
2014-11-30,100.5099
2014-12-31,100.4754
2015-01-31,100.4356
2015-02-28,100.4237
2015-03-31,100.4421
2015-04-30,100.4664
2015-05-31,100.4713
2015-06-30,100.4275
2015-07-31,100.3447
2015-08-31,100.253
2015-09-30,100.1775
2015-10-31,100.1281
2015-11-30,100.1013
2015-12-31,100.0747
2016-01-31,100.0297
2016-02-29,99.96254
2016-03-31,99.88728
2016-04-30,99.80202
